,text,scam
13,"@ObiWanKenobiS24 @RafalDudkiewic1 @DWielowieyska Dokładnie.
Nie należy zapominać 2 tury Balcerka, a także tego, co odwalał jako szef NBP, gdy m. in. Kołodko próbował ratować budżet, który on rozwalił. 

GazWyb-y nazwały efekty jego rządów dla niepoznaki ""dziurą Bauca"" 🙅‍♂️",0
14,"@KordysPiotr @Ryszard87537934 @Tomasz5ek To prawda

Bielecki (prywatyzacja z Dochnalem i tworzenie ustawy z szefem NBP Glapinskim, która jest fundamentem spółek tzw mafii paliwowej), Suchocka (Konkordat, zabójstwo Papały Cygan), Pawlak-Oleksy (Trójkąt Buchacza, decyzje energetyczne) 

Ta spuścizna to problem dla Polaków",0
15,"RT @AllMcBill: Ustrój polityczny w Polsce, 
według : 

1. Profesora Leszka Balcerowicza ekonomisty,byłego ministra finansów byłego wiceprem…",0
16,"RT @GrzelinskMa: ""Zapewniam państwa, że gdyby zarząd NBP i Rada Polityki Pieniężnej zarządzały światem, to byśmy żyli w o wiele lepszym świ…",0
17,"Zgoda ale jest to również zamknięte koło. Rynek domaga się stabilizacji walutowej ale właśnie ów ""umiarkowanie wysoki"" dług, którego koszt zależy od stóp nie pozwala zastosować najważniejszego mechanizmu interwencji NBP...
@artur_szczepek @Dziennik_N https://t.co/0eFD8V2eqZ",0
18,"RT @MichalskiLukasz: Ciekawostka: #Polska jest na 22. miejscu w światowym rankingu posiadanych rezerw fizycznego złota, a nasza rezerwa pod…",0
19,"RT @MichalskiLukasz: Dane #NBP: Raport o inflacji ⬇
https://t.co/RbUhWcpkVe… #NBP #inflacja #Inflacion #Polska #Poland https://t.co/l2ob6Bh…",0
20,"Ustrój polityczny w Polsce, 
według : 

1. Profesora Leszka Balcerowicza ekonomisty,byłego ministra finansów byłego wicepremierem i prezesa NBP.  

2.Mariana Kuczyńskiego,polskiego ekonomisty,dziennikarza,publicysty i polityka https://t.co/f2f9qmlvbJ",0
21,„Nie ma żadnego NBP jest Narodowy Bank Polski”… parafrazując Pana Dariusza 😁 #beztrybu https://t.co/zCXv2d7y78,0
22,"@Anna1Kwiecien Wg NBP tempo wzrostu PKB będzie z 50% prawdopodobieństwem w przedziale 4,3 – 4,9% w 2022 r. (wobec 3,9 – 5,5% w projekcji z lipca 2022 r.), -0,3 – 1,6% w 2023 r. (wobec 0,2 – 2,3%), 1,0 – 3,1% w 2024 r. (wobec 1,0 – 3,5%) oraz 1,8 – 4,4% w 2025 r.",0
23,"@KamilB22 @DWielowieyska @glorifyday No i co z tego, że M.Thatcher podniosła okresowo podatki? Co z tego wynika dla Polski z rozdętym i pozbawionym kontroli budżetem z idiotą na czele rządu i w NBP? Gdzie są analogie?",0
24,"RT @BratProfCzelawy: Ktoś mi powie, jak ta tępa baba, która nie umie napisać poprawnie jednego zdania, została profesorem, prezesem NBP i p…",0
25,"Wjechał nowy odcinek #SzanownePanstwo na kanałach @KlubJagiellonsk. Pytałem @piotrarak, dyr. @PIE_NET_PL o powrót na ścieżkę dynamicznego wzrostu, inflacje, budżetowe cięcia, decyzje NBP i zmiany ekonomicznych paradygmatów. Samo gęste, więc mocno zachęcam! https://t.co/f9vPff4G9v",0
26,Ekonomiści pobłądzeni w krytyce NBP &gt;&gt; https://t.co/AnHHDWAF2h  #Ekonomiści #pobłądzeni #w #krytyce #NBP,0
27,"RT @GrzelinskMa: ""Zapewniam państwa, że gdyby zarząd NBP i Rada Polityki Pieniężnej zarządzały światem, to byśmy żyli w o wiele lepszym świ…",0
28,"@Viciu13 @KamilDudkowski @lavarde__ @KochanyPrezio @MaxZadyma @Warszawski_R Ze swojej strony, jeśli poglądy Hayeka są dla Ciebie nadal niezrozumiałe, polecam przypomnienie sobie podstaw, czym są:
- polityka monetarna, jej instrumenty,
- system waluty złotej,
- cele NBP,
- nowoczesna teoria monetarna.

Może po zrozumieniu tych zagadnień coś się rozjaśni.",0
29,"RT @GrzelinskMa: ""Zapewniam państwa, że gdyby zarząd NBP i Rada Polityki Pieniężnej zarządzały światem, to byśmy żyli w o wiele lepszym świ…",0
30,Gość przebił absurdem konferencje Glapińskiego z NBP. https://t.co/Pt5fitTITN,0
31,"RT @BratProfCzelawy: Ktoś mi powie, jak ta tępa baba, która nie umie napisać poprawnie jednego zdania, została profesorem, prezesem NBP i p…",0
32,"@EmiliaKaminska „…poprzez opisanie roli wiceministra finansów Janusza Sawickiego w FOZZ i Banku Handlowym, masowej wymianie rubli transferowych za granicą, tajne operacje finansowe dokonywane przez pracowników NBP i  Ministerstwa Finansów za granicą… 2/x",0
33,"RT @GrzelinskMa: ""Zapewniam państwa, że gdyby zarząd NBP i Rada Polityki Pieniężnej zarządzały światem, to byśmy żyli w o wiele lepszym świ…",0
34,"@Bitcoin_Polska Za 5-7 lat to nie bedzie juz bankow,
tylko NBP 🙈 i CBDC 🤣",0
35,@Janusz01130194 @CatherineZaz @WcisloMarta @donaldtusk szefuńcio NBP i KNF: https://t.co/dAP1XCGAqv,0
36,"RT @GrzelinskMa: ""Zapewniam państwa, że gdyby zarząd NBP i Rada Polityki Pieniężnej zarządzały światem, to byśmy żyli w o wiele lepszym świ…",0
37,"@BatugWojciech piszę o tym na TT od pół roku i zero analiz, dyskusji, argumentów ze strony tzw. analityków finansowych.
Natomiast o ""straszliwej"" ponoć kondycji PLN, Glapińskim NBP mają same złe rzeczy do powiedzenia.
To doskonale pokazuje jakość tych ""analityków"". Podobną do fałszowanego złota",0
38,"RT @nbppl: Centrum Pieniądza #NBP zaprasza na wykład on-line ⬇
„Stanisław Karpiński - pierwszy prezes Banku Polskiego”, który wygłosi prof.…",0
39,"@Grzegor85661108 @CezaryGraf Będzie naj dalej NBP będzie podnosić stopy ale wpierw 4,39-4,36",0
40,"RT @TomekNarkun: Wzrost cen transakcyjnych nowych mieszkań przez ostatnie 5 lat.
Dane: NBP (3q17 do 3q22) https://t.co/WBq7HMeMJQ",0
41,"RT @BratProfCzelawy: Ktoś mi powie, jak ta tępa baba, która nie umie napisać poprawnie jednego zdania, została profesorem, prezesem NBP i p…",0
42,@JacekPiekara @MartaLokje To prawda. Ale jako szef NBP był dobry.,0
43,"@MarEk18749082 To chyba z innej tabeli korzystasz =) Przede wszystkim - NBP nie raportuje wskaźnika 17 miast, więc skąd ta liczba? Raportuje dla 7 największych miast, 10 mniejszych miast, ale nie dla 17.",0
44,"@koper_adas @lnto_The_Abyss @Leszczyna @DudSlaw Inflacja zaczęła rosnąć w Covidzie, bo rządy wypuściły mnóstwo pieniądza żeby ratować stojące firmy.
Wyjątek to PL, gdzie inflacja to wynik rozdawnictwa i druku pieniądza dla suwerena .
luty 2020:
inflacja PL 4,8% = już 2 x wyższa niż cel NBP i mocno rośnie.
W UE była wtedy 1,7%",0
45,@KapenGenezyp No i mają jeszcze #NBP- z którego sobie drukują...,0
46,@bargrz Ja miałem akurat na myśli choćby Prezesa NBP 🙃,0
47,"RT @GrzelinskMa: ""Zapewniam państwa, że gdyby zarząd NBP i Rada Polityki Pieniężnej zarządzały światem, to byśmy żyli w o wiele lepszym świ…",0
48,"RT @GrzelinskMa: ""Zapewniam państwa, że gdyby zarząd NBP i Rada Polityki Pieniężnej zarządzały światem, to byśmy żyli w o wiele lepszym świ…",0
49,"@DWielowieyska Proszę chociaż nie kłamać a Balcerowicz odchodził z NBP w styczniu 2007 roku, gdy bezrobocie wynosiło 15,1 %. Proszę go zapytać, ile obecnie wynosiłyby stopy %, gdyby był prezesem NBP?  Obecne podwyżki % są bardzo delikatne. https://t.co/mx7OmkIqTE. https://t.co/2Zk8DLPNDV",0
50,"RT @RadekOwczarek: @DWielowieyska @KarnowskiJakub Przypisuje Pani @DWielowieyska w sowim tekście, p. NBP, Glapińskiemu pomyłkę w ocenie syt…",0
51,@pisorgpl @MorawieckiM Pytanie skąd w dobie kryzysu i inflacji wezmą pieniądze.NBP glapinskiego zacznie dolary drukować?,0
52,"@matbabiarz No, ale powiem Ci, że kiedy Rada Polityki Pieniężnej i wbrew pozorom NBP robią jedno by obniżyć inflację, a rząd bawi się w dodatkowe wydatki budżetowe, to ja jestem w szoku, że mamy to co mamy...

xD",0
53,"@DWielowieyska W czasach kiedy Balcerowicz był prezesem NBP w Polsce szalało 20% bezrobocie. Niska inflacja w takim przypadku nie jest żadnym wyczynem, ani zasługą Balcerowicza. Oczywiście rząd polityką lockdownową doprowadził do kryzysu, ale to samo zrobiłaby PO nawet mając Balcerowicza w NBP",0
54,"@DWielowieyska Balcerowicz zasługuje na szacunek. Był średnim politykiem, dobrym prezesem NBP i bardzo dobrym publicystą. Jeśli chodzi o transformację popełniono tam sporo błędów i on głównie dawał twarz, a wszystkie plany miały wielu ojców. Nie zapomnijmy jednak przede wszystkim o Wilczku!",0
55,"RT @GrzelinskMa: ""Zapewniam państwa, że gdyby zarząd NBP i Rada Polityki Pieniężnej zarządzały światem, to byśmy żyli w o wiele lepszym świ…",0
56,"RT @GrzelinskMa: ""Zapewniam państwa, że gdyby zarząd NBP i Rada Polityki Pieniężnej zarządzały światem, to byśmy żyli w o wiele lepszym świ…",0
57,"RT @GrzelinskMa: ""Zapewniam państwa, że gdyby zarząd NBP i Rada Polityki Pieniężnej zarządzały światem, to byśmy żyli w o wiele lepszym świ…",0
58,"@DziennikPL Tusk:
- Prezydentowi RP sugeruje sznur i gałąź
- wzywa do łamania konstytucji przez bezprawne usuniecie prezesa NBP prof. Glapinskiego
- pomawia rząd o okradanie Polaków
- wzywa do wojny domowej przez wychodzenie na ulice",0
59,"RT @BogatyMen: #TeamBogaty opublikował nowe KOTy vol 45/2022.

A w nich m. in o #FTX i #NBP , #Inflacja w US i UK

dane za 
@Schuldensuehne…",0
60,"@DWielowieyska @KarnowskiJakub Przypisuje Pani @DWielowieyska w sowim tekście, p. NBP, Glapińskiemu pomyłkę w ocenie sytuacji i utrzymywaniu niskich stóp %.
To nie jest prawda. On się w niczym nie pomylił. Działania Glapińskiego miało cel polityczny - sprawić ułudę dobrobytu. Było celowe i zamierzone 👇 https://t.co/7GoW0ZDx2I",0
61,@TomekNarkun Czy NBP publikuje również mediany cen transakcyjnych? To byłoby o wiele ciekawsze.,0
62,"@DWitowski @CTomczyk Obajtek , kaczka i prezes NBP",0
63,"RT @BratProfCzelawy: Ktoś mi powie, jak ta tępa baba, która nie umie napisać poprawnie jednego zdania, została profesorem, prezesem NBP i p…",0
64,"RT @burchart_piotr: @Anna1Kwiecien Przecież w przyszłym roku NBP założył wzrost gospodarczy na poziomie 0,7%. Wiesz kobieto czym to skutkuj…",0
65,"RT @GrzelinskMa: ""Zapewniam państwa, że gdyby zarząd NBP i Rada Polityki Pieniężnej zarządzały światem, to byśmy żyli w o wiele lepszym świ…",0
66,RT @MBalawelder: jeszcze ktos daje sie nabierac ZE PIS COS PODWYZSZA ?  euro kosztowalo niedawno 3.40 a inflacja byla 2 % ... podwyzka pens…,0
67,@prezydentpl @AndrzejDuda Też bym wam nie dał pieniędzy. Jak można dać pieniądze komuś kto nie umie rządzić krajem a do tego propaguje patologię w kraju. Jastrząb rządzący NBP bez odpowiedniego wykształcenia to tak jak dziecku dać zapałki.,0
68,"RT @BratProfCzelawy: Ktoś mi powie, jak ta tępa baba, która nie umie napisać poprawnie jednego zdania, została profesorem, prezesem NBP i p…",0
69,"@MarcinPalade Zapomniał o złotówce, czy z racji, ze to Niemiec to nasz jastrząb z @nbp nie chciał z nim gadać?!",0
70,"RT @GrzelinskMa: ""Zapewniam państwa, że gdyby zarząd NBP i Rada Polityki Pieniężnej zarządzały światem, to byśmy żyli w o wiele lepszym świ…",0
71,"@JanDziekonski Czyli ogólnie, jeśli chodzi o ceny transakcyjne jest większy stedni wzrost 3q vs 2q niż 2q vs 1 q... a pamiętam jak po publikacji danych NBP za 2q był wrzask że dane są opóźnione i że korekty już są straszne. Zobaczycie co będzie jak NBP pokaże 3q. No i zobaczyliśmy...",0
72,"""Zapewniam państwa, że gdyby zarząd NBP i Rada Polityki Pieniężnej zarządzały światem, to byśmy żyli w o wiele lepszym świecie."" Adam Glapiński
( Zdj. z Fb) https://t.co/M1Ybg75K4R",0
73,@AnnaPater7 @Dorota27484074 Cały program to osiem gwiazdek i dorwanie się do Orlenu i skarbca NBP!,0
74,Edukacja Na Rzecz Systemu Finansowego ? Otwarcie Salonu Ekonomicznego Nbp W Krakowie wiadomości z ostatniej chwili &gt;&gt; https://t.co/sAi4J9UbLd #Wiadomości #Edukacjanarzeczsystemufinansowego?Otwarciesalonuekonomicznegonbpwkrakowie #moboblog,0
75,"@TweetyBoga NBP nie spodziewa się zimy do maja. Potem tak, ale tylko na płaskowyżu w Patagonii.",0
76,Edukacja Na Rzecz Systemu Finansowego  Otwarcie Salonu Ekonomicznego Nbp W Krakowie wiadomości z ostatniej chwili &gt;&gt; https://t.co/BShcM5TeW1 #Wiadomości #Edukacjanarzeczsystemufinansowegootwarciesalonuekonomicznegonbpwkrakowie #moboblog,0
77,"@Money_pl ""My w tej chwili żadnej pożyczki nie bierzemy - jako kraj, jako Narodowy Bank Polski. Żadnej. To do nas przychodzi cały świat i chce od nas pożyczać - podkreślił szef NBP."" Wychodzi na to, że ten cholerny świat zbyt dużo od nas pożyczył i teraz nam zaczyna  brakować🙃",0
78,Zysk Nbp wiadomości z ostatniej chwili &gt;&gt; https://t.co/h9bxHv4jl5 #Wiadomości #Zysknbp #moboblog,0
79,@Leszczyna @SasinJacek NBP i Wojsko Polskie też sprzeda? To musiałby się nazywać Tusk albo Pawlak.,0
80,"Prezes NBP: Szczyt inflacji w lato, powrót do celu w 2024 r &gt;&gt; https://t.co/jdKdBbJ4GH  #Prezes #NBP: #Szczyt #inflacji #w #lato, #powrót #do #celu #w #2024 #r",0
81,DABE NBP: Inflacja wróci do pasma odchyleń od celu w końcówce 2024 r &gt;&gt; https://t.co/9HyhjoyU5s  #DABE #NBP: #Inflacja #wróci #do #pasma #odchyleń #od #celu #w #końcówce #2024 #r,0
82,Prezes NBP: Moment zacieśniania polityki pieniężnej właściwy z punktu widzenia ówczesnych danych &gt;&gt; https://t.co/yo7JP27KXt  #Prezes #NBP: #Moment #zacieśniania #polityki #pieniężnej #właściwy #z #punktu #widzenia #ówczesnych #danych,0
83,"RT @BratProfCzelawy: Ktoś mi powie, jak ta tępa baba, która nie umie napisać poprawnie jednego zdania, została profesorem, prezesem NBP i p…",0
84,"RT @BratProfCzelawy: Ktoś mi powie, jak ta tępa baba, która nie umie napisać poprawnie jednego zdania, została profesorem, prezesem NBP i p…",0
85,@mgr_ewa Proponuję podjąć refleksję na temat trwającej od początku gospodarki rynkowej różnicy m/ stopami procentowymi #NBP a #ČNB i zapytać kogo czy co za to obwinimy. Potem zobaczyć gdzie bliżej stopie procentowej #ČNB -do #DBB części Europejskiego Systemu Banków Centralnych czy do #NBP,0
86,"RT @BCCorg: Prawdopodobieństwo recesji w 2023 jest niewielkie, uważa główny ekonomista #BCC prof. Stanisław Gomułka. Obniżenie inflacji CPI…",0
87,"@tkaz1313 @TomaszBorejza Tak

To nie jest dług Polaków, to dług emitenta PLN *wobec Polaków*: PL emituje z niczego PLN i obligacje i obiecuje że... zamieni jedne na drugie. Ot i cały “dług”

Raty sa ustalane przez NBP

https://t.co/J9RXJ2MlB3

https://t.co/egL0KgcwES

https://t.co/PXUV2FAPhT",0
88,RT @MBalawelder: jeszcze ktos daje sie nabierac ZE PIS COS PODWYZSZA ?  euro kosztowalo niedawno 3.40 a inflacja byla 2 % ... podwyzka pens…,0
89,"RT @BratProfCzelawy: Ktoś mi powie, jak ta tępa baba, która nie umie napisać poprawnie jednego zdania, została profesorem, prezesem NBP i p…",0
90,"RT @BratProfCzelawy: Ktoś mi powie, jak ta tępa baba, która nie umie napisać poprawnie jednego zdania, została profesorem, prezesem NBP i p…",0
91,"RT @BratProfCzelawy: Ktoś mi powie, jak ta tępa baba, która nie umie napisać poprawnie jednego zdania, została profesorem, prezesem NBP i p…",0
92,"RT @BratProfCzelawy: Ktoś mi powie, jak ta tępa baba, która nie umie napisać poprawnie jednego zdania, została profesorem, prezesem NBP i p…",0
93,"RT @BratProfCzelawy: Ktoś mi powie, jak ta tępa baba, która nie umie napisać poprawnie jednego zdania, została profesorem, prezesem NBP i p…",0
94,"RT @BratProfCzelawy: Ktoś mi powie, jak ta tępa baba, która nie umie napisać poprawnie jednego zdania, została profesorem, prezesem NBP i p…",0
95,"RT @BratProfCzelawy: Ktoś mi powie, jak ta tępa baba, która nie umie napisać poprawnie jednego zdania, została profesorem, prezesem NBP i p…",0
96,@Witek99624689 Spadnie inflacja? Bo Prezes NBP tak prognozuje? 😆,0
97,"RT @BogatyMen: #TeamBogaty opublikował nowe KOTy vol 45/2022.

A w nich m. in o #FTX i #NBP , #Inflacja w US i UK

dane za 
@Schuldensuehne…",0
98,"RT @TomekNarkun: Wzrost cen transakcyjnych nowych mieszkań przez ostatnie 5 lat.
Dane: NBP (3q17 do 3q22) https://t.co/WBq7HMeMJQ",0
99,RT @TomekNarkun: Najnowsze dane NBP dotyczące średnich cen transakcyjnych nowych mieszkań w 3 kwartale 2022 r. https://t.co/L51k3a0hYo,0
